system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDI45,NDVI,NDVIre,NDWI,NDre1,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,VH,VH_VV_ratio,VV,WVP,label,.geo
1548,0.03482222,0.035954546,0.103042856,0.04878,0.04062,0.06453158,0.040908333,0.10713846,0.2362125,0.27116364,0.28784445,0.29462728,0.29269546,0.0,0.0,0.0,0.0,0.0,0.4473594,0.7511301,0.4575033,-0.6337346,0.3759245,0.0,0.0,0.0,4.0E-4,0.0044,0.0066454546,0.0044571427,-14.670082,1.6306585,-8.996416,0.22906667,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1549,0.03320625,0.028533334,0.0894,0.0415875,0.033,0.05685,0.036466666,0.0986,0.2202,0.25045,0.24924,0.27044,0.26236,0.0,0.0,0.0,0.0,0.0,0.46001977,0.74472654,0.43307266,-0.62854064,0.38143036,0.0,0.0,0.0,4.0E-4,0.0037,0.0059,0.00365,-14.742077,1.5852572,-9.299486,0.21755,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1550,0.0339,0.041275,0.10370345,0.04482676,0.041272726,0.064467855,0.04089091,0.10722353,0.24020769,0.2756706,0.27942106,0.29688877,0.269215,0.0,0.0,0.0,0.0,0.0,0.4478471,0.7446807,0.44536385,-0.6250658,0.38276398,0.0,0.0,0.0,4.0E-4,0.00425,0.006666667,0.0041,-14.412479,1.6409111,-8.783217,0.23294444,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1551,0.033566665,0.0412,0.091016665,0.044042856,0.04008,0.06344,0.04411667,0.0986,0.2201,0.24924,0.26296666,0.2682,0.23306666,0.0,0.0,0.0,0.0,0.0,0.38175872,0.712673,0.45459574,-0.6112824,0.38123628,0.0,0.0,0.0,4.0E-4,0.0042,0.0065,0.00445,-13.227513,1.8536096,-7.136084,0.2225,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1552,0.033028573,0.045241665,0.10373913,0.045773078,0.0453,0.06796923,0.045142107,0.10342647,0.2367842,0.27133334,0.2794,0.29469,0.2848238,0.0,0.0,0.0,0.0,0.0,0.39230615,0.72181046,0.45966917,-0.6086629,0.39198574,0.0,0.0,0.0,4.0E-4,0.00465,0.007,0.00446,-13.552286,1.600235,-8.468935,0.229125,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1553,0.034844443,0.045291666,0.10227778,0.058114287,0.05717778,0.0767,0.06127143,0.1027,0.17698,0.19985715,0.19348,0.2097,0.22059375,0.0,0.0,0.0,0.0,0.0,0.25265726,0.51897085,0.3065028,-0.43223035,0.26558924,0.0,0.0,0.0,5.0E-4,0.00585,0.007766667,0.0063,-13.76526,1.837475,-7.4914,0.2152,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1554,0.03423846,0.041,0.11107333,0.05260566,0.04016154,0.064472,0.041013792,0.11528572,0.240208,0.27153888,0.27513912,0.2908647,0.26120624,0.0,0.0,0.0,0.0,0.0,0.47518975,0.7405446,0.40943453,-0.6203187,0.35140502,0.0,0.0,0.0,4.0E-4,0.0042,0.00664,0.0044363635,-14.236723,1.6249928,-8.761099,0.232675,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1555,0.03424,0.03422,0.09955769,0.043807693,0.03306875,0.060103334,0.036759377,0.107271425,0.25090668,0.29006666,0.29504547,0.31343332,0.28330475,0.0,0.0,0.0,0.0,0.0,0.48956227,0.7784277,0.4667317,-0.6615315,0.4010163,0.0,0.0,0.0,4.0E-4,0.00384,0.006035294,0.0037,-13.905338,1.7010205,-8.174704,0.2282,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1556,0.0341,0.04025,0.0967,0.0440125,0.039925,0.06566667,0.0397,0.10272,0.225775,0.25674,0.2702,0.278525,0.2444,0.0,0.0,0.0,1.0E-4,0.0,0.442494,0.7437883,0.4491044,-0.60897183,0.37460235,0.0,0.0,0.0,4.0E-4,0.0041,0.0066,0.004,-13.658619,1.6067822,-8.500604,0.2299,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1557,0.03482857,0.045222223,0.099,0.05364,0.05603,0.076175,0.057066668,0.1071,0.1906,0.211725,0.20495,0.2261,0.23941,0.0,0.0,0.0,0.0,0.0,0.30477157,0.5644043,0.31357154,-0.45807028,0.2804837,0.0,0.0,0.0,5.0E-4,0.0057,0.0077,0.0059857145,-14.091348,1.822656,-7.731216,0.216825,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1558,0.035383333,0.03415,0.10355,0.052257895,0.040733334,0.06445263,0.04135,0.10771176,0.22041333,0.24764286,0.26302856,0.2674357,0.26357692,0.0,0.0,0.0,0.0,0.0,0.44519642,0.72829884,0.4189369,-0.60637355,0.34347135,0.0,0.0,0.0,4.0E-4,0.0041,0.0065,0.004466667,-14.747106,1.4389594,-10.248452,0.2234,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1559,0.0343125,0.066208825,0.021684,0.0134605635,0.085845724,0.10355625,0.091686666,0.09002174,0.059294444,0.06072222,0.056884617,0.04861875,0.12853922,0.0,0.0,0.0,0.0,0.0,-0.009162642,-0.2342448,-0.22556628,0.29089618,-0.20578676,0.0,0.0,0.0,6.0E-4,0.008854546,0.01055,0.0092,-27.224766,1.3403325,-20.311949,0.20721,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1560,0.03482,0.046157144,0.0931,0.050316665,0.0592375,0.075166665,0.06169,0.098438464,0.16128889,0.1804,0.17085715,0.18848,0.2081091,0.0,0.0,0.0,0.0,0.0,0.22949365,0.46944094,0.2689189,-0.38894805,0.24198616,0.0,0.0,0.0,5.0E-4,0.00604,0.0076857144,0.0064,-13.280057,1.808286,-7.3440027,0.208475,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1561,0.034775,0.032642856,0.114285715,0.055609092,0.04178,0.06372,0.046,0.10228667,0.22143333,0.255225,0.256925,0.27443334,0.26247647,0.0,0.0,0.0,0.0,0.0,0.37958008,0.6962944,0.4304936,-0.6025511,0.3680547,0.0,0.0,0.0,4.0E-4,0.004442857,0.0066181817,0.0046,-13.562078,1.7446209,-7.7736535,0.2246,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1562,0.034225,0.0561,0.1066,0.04785625,0.041246668,0.06465357,0.04090741,0.103423335,0.23740667,0.2745,0.28434286,0.3,0.28772143,0.0,0.0,0.0,0.0,0.0,0.43314353,0.7484558,0.4665686,-0.62948865,0.393109,0.0,0.0,0.0,4.0E-4,0.004442857,0.00666,0.0043,-14.1898575,1.7307948,-8.198463,0.23176667,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1563,0.0336,0.028025,0.0876,0.044936363,0.042471427,0.057707693,0.042936362,0.09826191,0.20186667,0.22511667,0.23631428,0.24434286,0.25392726,0.0,0.0,0.0,1.0E-4,0.0,0.39182878,0.69248873,0.41261864,-0.60746,0.34520125,0.0,0.0,0.0,4.0E-4,0.004,0.0063,0.0046,-14.152948,1.5779898,-8.968973,0.2173,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1564,0.03485,0.04551,0.09576818,0.04411667,0.04072,0.06485833,0.041047618,0.10290667,0.2208,0.251275,0.29478332,0.2715,0.2930353,0.0,0.0,0.0,0.0,0.0,0.42971316,0.755546,0.48247796,-0.6393169,0.36419803,0.0,0.0,0.0,4.0E-4,0.0042,0.0067,0.00405,-14.425732,1.653692,-8.723349,0.23415,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1565,0.035357144,0.041945,0.11115,0.06407931,0.05086923,0.07475143,0.05872973,0.10551724,0.18406667,0.2094,0.21080166,0.22248462,0.222736,0.0,0.0,0.0,0.0,0.0,0.2848607,0.5642086,0.33284265,-0.4764446,0.2712493,0.0,0.0,0.0,4.0E-4,0.0055375,0.0076,0.006046154,-13.776766,1.645732,-8.371208,0.2247,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1566,0.0342,0.03855,0.0886,0.0469,0.04075,0.0641,0.0452,0.0971,0.1862,0.2077,0.226,0.2233,0.22385,0.0,0.0,0.0,0.0,0.0,0.3647224,0.6666666,0.3989477,-0.5580834,0.31450757,0.0,0.0,0.0,4.0E-4,0.0043,0.0067,0.0046,-13.256945,1.7801082,-7.447269,0.1977,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1567,0.035375,0.027342105,0.11075,0.048404347,0.03502,0.0582697,0.043016218,0.09714474,0.2304,0.27005294,0.26928,0.30130768,0.28457895,0.0,0.0,0.0,0.0,0.0,0.3861883,0.7245166,0.46976975,-0.6442085,0.40683073,0.0,0.0,0.0,4.0E-4,0.0037,0.006076923,0.0041,-13.904682,1.8325325,-7.5876865,0.22793333,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1568,0.034791667,0.0424375,0.103723526,0.044946875,0.0426875,0.06576522,0.042855173,0.10569687,0.24598636,0.2835706,0.28453,0.30807778,0.2766654,0.0,0.0,0.0,0.0,0.0,0.42302817,0.7381972,0.4582799,-0.6245155,0.39890864,0.0,0.0,0.0,4.0E-4,0.004466667,0.006642857,0.0043,-14.53777,1.6489831,-8.816203,0.2271,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1569,0.0351,0.0411,0.09941739,0.048992593,0.0452,0.06881667,0.04869412,0.10731482,0.22619167,0.25971112,0.26788,0.27511665,0.2618294,0.0,0.0,0.0,0.0,0.0,0.37575218,0.69236827,0.42795148,-0.59122455,0.3564454,0.0,0.0,0.0,4.0E-4,0.0047,0.007085,0.00495,-14.236231,1.5146387,-9.399094,0.2306,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1570,0.034226667,0.029657142,0.10661111,0.04386923,0.03732,0.060582608,0.03420769,0.10348518,0.26325,0.303475,0.31374547,0.3329,0.32987142,0.0,0.0,0.0,0.0,0.0,0.50313056,0.8033776,0.50394255,-0.6763128,0.4356408,0.0,0.0,0.0,4.0E-4,0.004,0.00604,0.0036,-14.223138,1.6986108,-8.373394,0.22031428,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
